Tipo	Autor	Genero	Editorial	Isbn	Titulo	Fecha	Publicación	Suscripción	Duración	Formato	Álbum
Audio	Satyricon	Black metal			Min Hyllest Til Vinterland	01/01/96			5	CD	Dark Medieval Times
Audio	Satyricon	Black metal			Into The Mighty Forest	01/01/96			3	CD	Dark Medieval Times
Audio	Satyricon	Black metal			The Dark Castle In The Deep Fo	01/01/96			6	CD	Dark Medieval Times
Audio	Satyricon	Black metal			Taakeslottet	01/01/96			4	CD	Dark Medieval Times
Audio	Rammstein	Industrial			Wollt ihr das Bett in Flammen Sehen?	01/01/96			6	mp3	Herzeleid
Audio	Rammstein	Industrial			Der Meister	01/01/00			3	mp3	Herzeleid
Audio	Rammstein	Industrial			Asche zu Asche	01/01/00			2	mp3	Herzeleid
Audio	Rammstein	Industrial			Seemann	01/01/00			2	mp3	Herzeleid
Audio	Rammstein	Industrial			Du Riechst So Gut	01/01/00			6	mp3	Herzeleid
Audio	Rammstein	Industrial			Das Alte Leid	01/01/00			2	mp3	Herzeleid
Audio	Rammstein	Industrial			Heirate Mich	01/01/00			5	mp3	Herzeleid
Audio	Rammstein	Industrial			Herzeleid	01/01/00			5	mp3	Herzeleid
Audio	Rammstein	Industrial			Laichzeit	01/01/00			6	mp3	Herzeleid
Audio	Rammstein	Industrial			Rammstein	01/01/00			5	mp3	Herzeleid
Audio	Metallica	Thrash metal			Fight fire with fire	01/01/89			6	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			Ride the Lightning	01/01/89			3	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			For whom the bell tolls	01/01/89			4	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			Fade to Black	01/01/89			4	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			Trapped under Ice	01/01/89			6	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			Escape	01/01/89			5	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			Creeping Death	01/01/89			4	mp3	Ride the Lightning
Audio	Metallica	Thrash metal			The Call of Ktulu	01/01/89			3	mp3	Ride the Lightning
Audio	Lord Belial	Black metal			Succubi Infernal	01/01/00			5	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Demonic Possession	01/01/00			6	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Desolate Passage	01/01/00			3	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Nocturnus	01/01/00			4	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Insufferable Rituals	01/01/00			5	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Monarchy of Death	01/01/00			6	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Fleshbound	01/01/00			6	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Spiritual Damnation	01/01/00			3	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Indoctrination of Human Sorrow	01/01/00			2	mp3	Nocturnal Beast
Audio	Lord Belial	Black metal			Deathmarch (Outro)	01/01/00			3	mp3	Nocturnal Beast
Audio	Limbonic Art	Black metal			Beneath The Burial Surface	01/01/00			6	mp3	Moon in the Scorpio
Audio	Limbonic Art	Black metal			Moon In The Scorpio	01/01/97			6	mp3	Moon in the Scorpio
Audio	Limbonic Art	Black metal			Through Gleams Of Death	01/01/97			4	mp3	Moon in the Scorpio
Audio	Limbonic Art	Black metal			In Mourning Mystique	01/01/97			5	mp3	Moon in the Scorpio
Audio	Limbonic Art	Black metal			Beyond The Candles Burning	01/01/97			3	mp3	Moon in the Scorpio
Audio	Limbonic Art	Black metal			Darkzone Martyrium	01/01/97			6	mp3	Moon in the Scorpio
Audio	Limbonic Art	Black metal			The Dark Rivers Of The Heart	01/01/97			3	mp3	Moon in the Scorpio
Audio	Immortal	Black metal			Triumph	01/01/97			6	mp3	Damned In Black
Audio	Immortal	Black metal			Wrath From Above	01/01/97			3	mp3	Damned In Black
Audio	Immortal	Black metal			Against The Tide 	01/01/97			2	mp3	Damned In Black
Audio	Immortal	Black metal			My Dimension	01/01/97			6	mp3	Damned In Black
Audio	Immortal	Black metal			The Darkness That Embrace Me 	01/01/97			5	mp3	Damned In Black
Audio	Immortal	Black metal			In Our Visions Blest	01/01/97			2	mp3	Damned In Black
Audio	Immortal	Black metal			Damned In Black	01/01/97			2	mp3	Damned In Black
Audio	El Reno Renardo	Freak metal			Renux Renardi	01/01/08			5	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Cambio Radical	01/01/08			5	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Hasta La Polla	01/01/08			4	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Ctrl+Alt+Supr	01/01/08			6	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			El Bogavante	01/01/08			4	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			El Bardo Bastardo (In The Forest)	01/01/08			5	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Creci En Los Ochenta	01/01/08			4	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Zapping (Part II)	01/01/08			3	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Cien Idiotas	01/01/08			6	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Tu Hamster	01/01/08			3	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Vomito	01/01/08			4	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Fiesta Palangana	01/01/08			5	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Amamos La Birra	01/01/08			3	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Trilorgia Dia 1: Despiporre	01/01/08			6	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Trilorgia Dia 2: Secuelas	01/01/08			5	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			Trilorgia Dia 3: Urgencias	01/01/08			5	mp3	Y El Reino De La Cagalera De Bisbal
Audio	El Reno Renardo	Freak metal			El Punky Perroflauta Que Tocaba La Cancion Del Equipo A Y Fue Ejecutado Por Luke Skywalker	01/01/08			4	mp3	Y El Reino De La Cagalera De Bisbal
Audio	Dimmu Borgir	Symphonic black metal			Mourning Palace	01/01/96			2	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Spellbound (By the devil)	01/01/96			3	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			In Deaths Embrace	01/01/96			4	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Relinquishment Of Spirit And Flesh	01/01/96			4	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			The Night's Masquerade	01/01/96			5	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Tormentor Of Christian Souls	01/01/96			6	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Entrance	01/01/96			5	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Master Of Disharmony	01/01/96			2	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Prudence's Fall	01/01/96			6	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			A Succubus In Rapture	01/01/96			3	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Raabjorn Speiler Draugheimens Skodde	01/01/96			4	mp3	Enthrone Darkness Triumphant
Audio	Dimmu Borgir	Symphonic black metal			Raabjorn Speiler Draugheimens Skodde	01/01/96			6	mp3	Enthrone Darkness Triumphant
Audio	Amon Amarth	Symphonic death metal			As Loke Falls	01/01/10			5	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Father of the Wolf	01/01/10			5	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Shape Shifter	01/01/10			3	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Under Siege	01/01/10			3	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Blood Eagle	01/01/10			4	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			We Shall Destroy	01/01/10			4	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Hel	01/01/10			4	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Coming of the Tide	01/01/10			3	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Warriors of the North	01/01/10			4	mp3	Deceiver of the Gods
Audio	Amon Amarth	Symphonic death metal			Deceiver of the Gods	01/01/10			4	mp3	Deceiver of the Gods
Audio	Marduk	Black metal			Panzer Division Marduk	01/01/96			3	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			Baptism By Fire	01/01/96			6	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			Christraping Black Metal	01/01/96			5	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			Scorched Earth	01/01/96			5	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			Beast of Prey	01/01/96			5	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			Blooddawn	01/01/96			3	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			502	01/01/96			3	mp3	Panzer Division Marduk
Audio	Marduk	Black metal			Fistfucking God's Planet	01/01/96			2	mp3	Panzer Division Marduk
Audio	Burzum	Ambient black metal			Dunkelheit	01/01/96			3	mp3	Filosofem
Audio	Burzum	Ambient black metal			Jesus' Tod	01/01/96			2	mp3	Filosofem
Audio	Burzum	Ambient black metal			Erblicket Die Töchter Des Firm	01/01/96			6	mp3	Filosofem
Audio	Burzum	Ambient black metal			Gebrechlichkeit I	01/01/96			4	mp3	Filosofem
Audio	Burzum	Ambient black metal			Rundgang Um Die Transzendental	01/01/96			5	mp3	Filosofem
Audio	Burzum	Ambient black metal			Gebrechlichkeit II	01/01/96			4	mp3	Filosofem
Audio	Burzum	Ambient black metal			Blóðstokkinn 	01/01/96			2	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Jóln 	01/01/96			3	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Alfadanz 	01/01/96			6	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Hit helga Tré 	01/01/96			2	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Æra 	01/01/96			4	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Heiðr 	01/01/96			4	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Valgaldr 	01/01/96			2	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Galgviðr 	01/01/96			5	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Surtr Sunnan 	01/01/96			4	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Gullaldr 	01/01/96			3	mp3	Umskiptar
Audio	Burzum	Ambient black metal			Níðhöggr 	01/01/96			6	mp3	Umskiptar
Audio	Marilyn Manson	Alternative rock			Great Big White World	01/01/96			5	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			The Dope Show	01/01/96			6	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			Mechanical Animals	01/01/96			5	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			Rock Is Dead	01/01/96			6	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			Disassociative	01/01/96			5	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			The Speed Of Pain	01/01/96			4	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			Posthuman	01/01/96			5	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			I Want To Disappear	01/01/96			4	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			I Don't Like The Drugs (B	01/01/96			3	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			New Model No.	01/01/96			4	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			User Friendly	01/01/96			4	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			Fundamentally Loathsome	01/01/96			4	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			The Last Day On Earth	01/01/96			3	ogg	Mechanical Animals
Audio	Marilyn Manson	Alternative rock			Coma White	01/01/96			2	ogg	Mechanical Animals
Audio	In Flames	Melodic death metal			Bullet Ride	01/01/96			2	mp4	Clayman
Audio	In Flames	Melodic death metal			Pinball Map	01/01/96			2	mp4	Clayman
Audio	In Flames	Melodic death metal			Only for the Weak	01/01/96			6	mp4	Clayman
Audio	In Flames	Melodic death metal			...As the Future Repeats Today	01/01/96			3	mp4	Clayman
Audio	In Flames	Melodic death metal			Square Nothing	01/01/96			2	mp4	Clayman
Audio	In Flames	Melodic death metal			Clay Man	01/01/96			5	mp4	Clayman
Audio	In Flames	Melodic death metal			Satellites and Astronauts	01/01/96			3	mp4	Clayman
Audio	In Flames	Melodic death metal			Brush the Dust Away	01/01/96			6	mp4	Clayman
Audio	In Flames	Melodic death metal			Swim	01/01/96			4	mp4	Clayman
Audio	In Flames	Melodic death metal			Suburban Me	01/01/96			5	mp4	Clayman
Audio	In Flames	Melodic death metal			Another Day in Quicksand	01/01/96			5	mp4	Clayman
Audio	Black Sabbath	Heavy metal			Trashed	01/01/83			6	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Stonehenge	01/01/83			2	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Disturbing The Priest	01/01/83			2	mp3	Born Again
Audio	Black Sabbath	Heavy metal			The Dark	01/01/83			4	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Zero The Hero	01/01/83			3	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Digital Bitch	01/01/83			4	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Born Again	01/01/83			4	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Hot Line	01/01/83			6	mp3	Born Again
Audio	Black Sabbath	Heavy metal			Keep It Warm	01/01/83			3	mp3	Born Again
Audio	Judas Priest	Heavy metal			Rapid Fire	01/01/80			2	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			Metal Gods	01/01/80			3	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			Breaking The Law	01/01/80			2	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			Grinder	01/01/80			4	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			United	01/01/80			6	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			You Don't Have To Be Old To Be Wise	01/01/80			6	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			Living After Midnight	01/01/80			3	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			The Rage	01/01/80			5	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			Steeler	01/01/80			6	wav	British Steel The Re Masters
Audio	Judas Priest	Heavy metal			Grinder Bonus / Live	01/01/80			3	wav	British Steel The Re Masters
